0xc9	0xd1
0x1042V0x107eV0xfe2V0xe99V0x61a	0x1522B0x107eB0xfe2B0xe99B0x61a
0xeaeV0x642	0x140cB0x642
0xe95V0x642	0x13e8B0x642
0xfd9V0xe99V0x642	0xfe2B0xe99B0x642
0xfdeV0xe99V0x642	0x1051B0xe99B0x642
0xfc9V0xe99V0x642	0x1476B0xe99B0x642
0x1002V0xe99V0x642	0x100fB0xe99B0x642
0x1014V0xe99V0x642	0xfceB0xe99B0x642
0xfd3V0xe99V0x642	0x1498B0xe99B0x642
0x1075V0xfe2V0xe99V0x642	0x107eB0xfe2B0xe99B0x642
0x1093V0xfe2V0xe99V0x642	0x1567B0xfe2B0xe99B0x642
0x107aV0xfe2V0xe99V0x642	0x1545B0xfe2B0xe99B0x642
0x104dV0x107eV0xfe2V0xe99V0x642	0x103dB0x107eB0xfe2B0xe99B0x642
0x1038V0x107eV0xfe2V0xe99V0x642	0x1500B0x107eB0xfe2B0xe99B0x642
0x1042V0x107eV0xfe2V0xe99V0x642	0x1522B0x107eB0xfe2B0xe99B0x642
